Title,Content
SWAG合體雞排妹？陳沂有想　轟：言行不一,娛樂中心／綜合報導 ▲陳沂被問到是否找「宿敵」雞排妹在SWAG直播，竟回答「我其實有想，但是怕被說性騷擾。」（圖／FHM提供、翻攝自雞排妹IG） 網紅陳沂與鄭家純（雞排妹）3年前與在直播大戰，雞排妹不滿自己的手機號碼被陳沂唸出，也在她臉書公布陳沂手機號碼，最高法院上月依違反《個資法》判處鄭徒刑3月，得易科罰金9萬元確定，雞排妹後來繳罰金9萬免關。陳沂近日加入SWAG，被問到是否想找「宿敵」雞排妹一起直播，陳沂竟回答「我其實有想，但是我怕被說性騷擾。」 ▲陳沂被問到是否找「宿敵」雞排妹在SWAG直播，竟回答「我其實有想，但是怕被說性騷擾。」（圖／記者鄭孟晃攝） SWAG邀請陳沂加入SWAG，首場處女直播秀定在5/29晚間10點半，將合體「前海龍蛙兵」壹柒柒。根據《中時新聞網》報導，被問是否想找「宿敵」雞排妹一起在SWAG直播，陳沂回答「我其實有想，但是我怕被說性騷擾，而且我也很怕就是雞排妹會先寄存證信函給我，說我性騷擾她。因為雞排妹怎麼都要說別人性騷擾，誰知道。」陳沂也酸雞排妹「言行不一，不要明明嘴巴在講情色，可是又要回頭說人家性騷擾這些的，就在自打嘴巴。」陳沂認為真正的女權，是女性獨立自主、男女平權，而非追求特權。 ▲陳沂維基百科多了一個「色情演員」身分，讓她非常滿意大讚「必須稱讚維基百科此效率」。（圖／翻攝自陳沂IG） 陳沂今天也開心在社群PO出自己維基百科的資訊，看到除了有台灣網路名人、活動主持人等身分，現在還多了一個「色情演員」，讓她非常滿意大讚「必須稱讚維基百科此效率」。事實上，陳沂昨天才在SWAG記者會點名羅志祥，「大家都說羅志祥只有空幹，我想約羅志祥實X，祥祥就是口碑好！姿勢我全力配合需求，祥祥你要怎樣都可以！」被問到羅志祥是性幻對象？她則說「是我所有幻想的對象，是我的夢中情人，我的心只有祥祥。」 ※ 本網頁已閒置超過5分鐘，請點擊右上關閉鈕，即可關閉。 SWAG合體雞排妹？陳沂給驚人答案「其實有想」 轟她言行不一：自打嘴巴 | 娛樂星聞
瘋狂告白陳沂　鄧佳華背景卻是政壇1女神,娛樂中心／綜合報導 ▲鄧佳華曾陸續告白過多位正妹，去年選前就多次告白立委黃捷。（組合圖／翻攝自臉書） 以FBI帥哥打響名氣，多年來形象舉動奇葩的網紅鄧佳華，曾多次向各路女神傳達愛意。近日，聽聞網紅陳沂即將投入SWAG的消息後，立刻邀約女方拍《華根初上4》，更以「沂～」一語甜蜜稱呼對方。尷尬的是，其實鄧佳華的社群軟體背景，用的還是高顏值得民進黨立委「黃捷」。 近日，鄧佳華拍片消息再次炒得沸沸揚揚，她更直接喊話陳沂「一起拍華根初上第四部，妳可以當我的女角嗎？」陳沂則幽默回道「你可以，但我不可以啊」。僅管被女方委婉打槍，鄧佳華仍甜蜜喊話「沂~從2016到2024我們認識8年了，我還是愛著妳！」，奇特言論讓不少網友看傻眼。 ▲鄧佳華將黃捷設為臉書背景，當時更寫道「這一生我只愛黃捷」。 （圖／翻攝自鄧佳華臉書） 即便他現在瘋狂喊話陳沂拍片，但他臉書的「動態時報」仍舊放著大大張的黃捷，當時更寫道「這一生我只愛黃捷」。網友則紛紛吐槽「喔是哦」、「移情別戀渣男」、「你只適合去吃屎吧，還愛黃捷，一直蹭女生」。 ※ 本網頁已閒置超過5分鐘，請點擊右上關閉鈕，即可關閉。 瘋狂告白陳沂 但鄧佳華背景卻是「政壇1女神」：我一生只愛她 | 娛樂星聞
週末鋒面抵！全台一片紫藍　好天氣等這天,三立準氣象／黃依婷報導 ▲今日主要雨勢在午後中南部山區。 今（29）日中南部山區午後仍有雲層發展，不過其他時間跟昨（28）日比起已明顯好轉，從雷達回波圖也可觀察到午後山區的對流現象，主要都在中南部消長，且都是強烈的雷雨胞，因此氣象局也在午間發布大雷雨特報，甚至對屏東還有發出小範圍的豪雨特報。 三立氣象主播吳德榮指出，今日主要在桃園以南大致上都有下過雨，不過主要的雨勢還是出現在下午過後中南部山區；至於氣溫方面，由於降雨都出現在山區，因此白天中南部仍有33、34度高溫，北部天氣則偏涼，今日高溫大約僅有29度，從定量降雨日報也可得知，明日天氣主要還是出現在午後降雨，且仍屬山區雨勢較大，不過南台灣水氣也增加，因此會有不定時短暫陣雨的現象。 ▲明後2天都有西南風，為午後對流旺盛的主要原因。 吳德榮指出，地面天氣圖顯示，明後2天都有些西南風，也是造成午後對流旺盛的主要原因，不過天氣大致上仍是比較穩定，且氣溫逐漸升高，北台灣高溫約32、33度，體感上較為悶熱，可是週六、週日2天鋒面已在台灣上空，要慎防劇烈天氣，且氣溫也會隨之下降，週日白天高溫僅有26度，明顯變涼。 ▲週末2天鋒面在台灣上空。 吳德榮強調，根據歐洲電腦模擬預測圖顯示，週末2天鋒面就在台灣上空，再加上南海北上的水氣，因此天氣是很不穩定的，會有中小尺度的對流系統發展，要慎防小範圍雷擊、強風以及瞬間強降雨，要特別防範劇烈天氣的發生，不過週一天氣就會好轉，白天氣溫也會跟著回升，高溫可達31度。 交情普「喜宴1桌2萬6」包多少？網曝1數字
獨／三總名醫單獨看診　掀女病患內衣挨告,記者徐湘芸、鄭翔仁／台北報導 這名被擄走的陳姓名醫，過去就有不少爭議。之前一名女病患在沒有護理師陪同下，被帶到小房間診療，過程中醫師未告知突然掀開內衣，疑似還觸碰到胸部，讓女病患感到不適；雙方以2萬元達成和解，陳姓名醫獲得不起訴處分。但女病患再度出面，表示當下只是想要一個道歉，不在意和解金額，事後也將這筆錢全數捐出。 凌晨3點病患掛急診，獨自被醫師帶到診間。躺下後一切看似正常，但下一秒醫師未告知情況下，突然掀開病患內衣，讓女病患當下不知所措。 遭性騷女病患：「（事發）一年之後，然後我們才開始進和解，才知道我從原告轉被告，就是他有反告我妨害名譽。那時候我年紀也還小，25、26歲，所以那時候當然，最後你會希望把這件事情就快結束掉，那時候的確我們也最後達成和解，有很大一部分是我不想再跟他繼續耗下去。」 回想起5年前那一晚，就像是一場噩夢。高小姐當時突發蕁麻疹，前往內湖三總醫院急診，當時由陳姓名醫看診，在護理師陪同下沒有異狀，但醫師突然表示要再次確認，把人帶到員工專用診療室獨自看診；更掀開內衣，疑似還有觸碰到胸部。 醫院獲報後通報性騷擾申訴會表示，陳醫師任職以來沒有被申訴性騷擾紀錄，已證實聲請人是執行醫療行為，另外兩人已達成和解，因此獲得不起訴處分。 遭性騷女病患：「那兩萬塊（和解金）最後我是捐掉，我們從頭到尾要的都是一個道歉，因為他前面是完全堅持不道歉，道歉之後我當然就覺得那件事就快點結束。」 令人困惑的是，一般醫師門診都會有護理師陪同，為何二次看診會發生醫師和病患單獨相處？陳姓醫師當下表示，是因為急診室太忙，並非故意不遵守程序，屬於正常診療範圍，未逾矩。事隔5年後又被爆出感情糾紛，不論是為情還是為財，也讓名醫的爭議事件再添一樁。 尊重身體自主權！請撥打113、110 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
獨／三總醫師被擄走！2煞鎮暴槍勒索400萬,記者凌毓鈞、戴偉臣／台北報導 6日晚間，台北內湖三軍總醫院的陳姓醫師在急診室外被人持槍擄走，原來他跟1名林姓女子有感情和債務糾紛，對方涉嫌找小弟要討400萬債務，陳姓醫師嚇得趕緊提告。目前警方已經逮到2名小弟，並查扣1把空氣鎮暴槍，持續向上追查。 駕駛走在前開了車門，後方還有2名男子緊跟在後，其中這名黑衣男就是三軍總醫院的陳姓醫師，表情緊張不敢反抗，原來他被後方男子持槍擄上車。 記者凌毓鈞：「當時這名陳姓醫師剛從急診室走出來，不僅被跟蹤還遭亮槍恐嚇。」 被擄走的陳姓醫師在三總擔任急診室主治醫師，醫術好又會談吐，還曾上過廣播節目分享醫學知識，這回卻惹上桃花債捲進糾紛。 事發在6日晚間台北內湖區民權東路六段135巷內，是不少三總醫師和護理師上班的必經之路，陳姓醫師會被擄走，原來是和林姓女子有感情和債務糾紛，醫師強調已經還了100萬，但女方不滿涉嫌撂小弟擄人。小弟落網供稱是幫忙討400萬債務，否認被教唆，但另一名小弟全都認了，2人被依妨害自由罪送辦。 律師李育昇：「如果該槍枝是屬於管制物品，甚至還有可能會觸犯槍砲彈藥刀械管制條例，是要處3年以上10年以下的有期徒刑。」 警方認為案件不單純，目前還在向上追查。對此，三軍總醫院回應，陳姓醫師在營外糾紛屬於個人行為，目前由警方偵辦中。 只是已婚醫師還捲進感情債務糾紛，負面形象又添一筆。 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
鄧佳華最新發聲：拍片這行業非人人可走,娛樂中心／綜合報導 ▲網紅鄧佳華。（圖／記者邱榮吉攝影） 網紅鄧佳華奇特言論與形象，經常引發話題，繼日前驚為天人的華根初上之後，近日又傳出了多起成人影片相關的話題，還主動邀約話題網紅陳沂拍片，引發外界好奇。事實上，關於拍片一事，今（29）日稍早，鄧佳華就分享了他的心得。 陳沂日前拋出震撼彈，表明投入SWAG，想要爭取「四十路的熟女市場」，先是引爆了話題。鄧佳華立刻表明了當男方意願，近日就說「一起拍華根初上第四部，妳可以當我的女角嗎？」陳沂則幽默回道「你可以，但我不可以啊」。僅管被女方委婉打槍，鄧佳華仍甜蜜喊話「沂~從2016到2024我們認識8年了，我還是愛著妳！」，奇特言論讓不少網友看傻眼。 關於這一行，鄧佳華稍早於臉書連發兩文，簡短地說出心聲：「拍片這個行業，非人人想走 也非人人可走」、「現在自己當老闆了，要懂得格局」。 三立新聞網提醒您： 根據刑法第235條規定，散布、播送或販賣猥褻之文字、圖畫、聲音、影像或其他物品，或公然陳列，或以他法供人觀覽、聽聞者，處2年以下有期徒刑、拘役或科或併科三萬元以下罰金。意圖散布、播送、販賣而製造、持有前項文字、圖畫、聲音、影像及其附著物或其他物品者，亦同。提醒大家勿加入跪求、私給等行列以免觸法。 ※ 本網頁已閒置超過5分鐘，請點擊右上關閉鈕，即可關閉。 想夢幻合體陳沂？鄧佳華感性發聲了：拍片這行業，非人人可走 | 娛樂星聞
中捷虧損　明年擬增資20億！盧秀燕這麼說,台中捷運公司連年虧損，資本額新台幣35億元即將用罄，明年再增資20億元。台中市長盧秀燕表示，民國109年中捷公司開始營運就碰到疫情，疫情解封後虧損減少，今年的虧損會再降低。 ▲台中捷運公司連連虧損，明年再增資20億元。台中市議員陳雅惠認為，中捷公司不能一直增資，應該尋求增加收入的副業。（圖／中央社） 台中市議會今（29）天召開市政總質詢，民進黨籍市議員李天生、陳雅惠關心，台中捷運公司資本額35億元，預估明年初會用罄，未來資本額將調增為55億元。 李天生表示，中捷公司106年成立後，107年虧損1.03億元、108年虧損2.05億元、109年虧損5.36億元、110年已虧損6.02億，虧損逐年增高，不好容易111年減少虧損，仍虧損5.91億元及112年虧損5.44億元，113年預計虧損7.34億元。 他說，中捷公司未用心經營，虧損額度持續擴大，加上發生異物入侵、亮槍及殺人等事件，影響營運收入，又無法學習民間業者成功經營案例。陳雅惠則說，中捷公司不能一直增資，應該尋求增加收入的副業。 盧秀燕表示，台中捷運在民國109年4月通車後就遇上疫情，民國109年、110年、111年疫情期間，學生都不能去上學，政府要求大家不要搭乘大眾交通系統，疫情趨緩後，虧損開始降低，今年的虧損也會再降低。 中捷公司董事長顏邦傑說明，在沒有形成路網前，虧損在所難免，但在撙節開支及開源節流下，預估今年度虧損會降至5億；發生重大事件影響流量約10%。增資案已列入114年度重要施政計畫辦理審查中，後續經中捷公司董事會及市府市政會議審議通過後，送市議會審議。 增加副業收入部分，顏邦傑表示，除了現有的廣告、販賣店外，未來將改善車站環境增加商業使用空間，並與電信業者合作提供場地出租，北屯維修機廠、停車場的屋頂設置太陽能光電設備，可為公司帶來售電收入。 交情普「喜宴1桌2萬6」包多少？網曝1數字
獨／網購小魚乾花生咬到磁磚！盛香珍回應,記者羅珮瑜、徐兆緯、何孟哲 / 台北報導 台北一名楊小姐在電商平台上買了3包小魚乾花生，沒想到竟然咬到像磁磚的異物，讓她當下差點牙齒碎裂，事後向廠商回應，但快2個月才回覆，這可能是捕獲小魚時夾帶到的海洋異物。對此，盛香珍表示抱歉，但目前並沒有接獲其他客訴。 倒出小魚乾花生香氣四溢，日前楊小姐在電商平台上一次買了3包產品，卻險些將硬物吞下肚。 投訴人楊小姐：「吃一吃然後就發現，裡面藏了一顆滿大滿傷身體的小石頭，或是磁磚類的，我臼齒在咀嚼它的時候，就壓到牙齦整個神經都在痛」。 4月10日楊小姐下單3包盛香珍的小魚乾花生，一口吃下去瞬間牙齦痛不欲生，拿出來一看嚇一跳，這異物看起來像石頭又像磁磚，事後楊小姐提供問題產品效期、及外包裝條碼，委託電商平台反映給廠商，卻過近2個月才得到回應，廠商表示這可能是捕獲小魚時夾帶到的海洋異物，公司願意退費，並補寄公司新品一箱果凍當作致歉。 投訴人楊小姐：「如果我們的廠商都那麼沒有良心，去製造這種東西，然後客戶也反映都不去反映，然後送我果凍，這個對我來講，好像不是我要的訴求，那我們消費者就活該倒楣，吃那麼硬的東西到肚子裡面去嗎」？ 當初楊小姐因為平台打7折優惠讓她心動下單，沒想到第一次購物卻讓她吃了一肚子氣。 投訴人楊小姐：「一個廠商的信譽跟公司的品管，對我來講是我信不信任這個品牌的原則」。 對此，盛香珍回應事後送檢該批商品無任何食安問題，也未接獲其他消費者食用後有任何身體不適，但接獲電商平台反映，因個資法接觸不到消費者，因此無法第一時間聯繫。業者強調小魚乾花生製成，每批原料都會抽樣檢驗，經油炸混合攪拌後，再通過金檢機和Ｘ光機兩道檢測。這回因小魚乾花生中出現異物，對消費者深感抱歉。 交情普「喜宴1桌2萬6」包多少？網曝1數字
波霸奶茶杯大亨告嫩模　爆送名車還發豪語,記者楊佩琪／台北報導 ▲「波霸奶茶大亨」施宗明對小他20多歲的女模提告求償1.1億餘元。（圖／資料畫面） 有「波霸奶茶大亨」稱號的旅美台商施宗明，控訴28歲陳姓女模詐騙他上億，向台北地方法院提告求償陳女及陳女哥哥應連帶賠償1.1億餘元。台北地方法院29日開庭，陳女的哥哥表示，施男曾送妹妹一輛BMW，還告訴妹妹「放心收」、「這個錢一天就可以賺到」。而且妹妹拒絕施男的追求後不到一個禮拜，施男就提告，他也變成被告，覺得「莫名其妙」。 根據施男提告，他於2023年間因邀約合作拍廣告認識陳姓女模，並開始追求。原本2人以結婚為前提交往，他還大手筆送保時捷休旅車、BMW、愛馬仕名牌包包、珠寶首飾等給陳女，但沒想到才4個月後陳女便開始用各種理由疏遠他，認為陳女根本假裝願意結婚真詐騙，才對陳女提告求償1.1億餘元，並追加陳女哥哥為被告。 陳女哥哥出庭作證時表示，有聽妹妹說過施男在追求她，還送了她一輛BMW，要她放心收下「這個錢一天就可以賺到」，但妹妹沒有同意交往，施男仍死纏爛打，妹妹勉強於2023年10月間赴施男的約，一度還要他注意手機訊息以免施男有過激舉動需要求援。 隔日凌晨，施男酒後情緒激動，也不肯放妹妹離開，妹妹因此請他到酒店陪過夜保護。陳男表示，陪妹妹在酒店房間時，一度聽到施男想開妹妹的房門，但房門有上鏈條所以打不開。 對此，施男的委任律師及陳女的委任律師皆追問，為何陳男不另找地方安頓妹妹。陳男表示，妹妹想等施男酒醒後說清楚，當時也已經晚上了，他在場妹妹比較安全。不過之後陳男改口當時沒法在女友家過夜、妹妹還有東西放在酒店等語，讓施男的律師質疑說詞反覆。 法官則追問陳男當時為何要收下妹妹給的3萬美金及30萬台幣，陳男表示這先前是向妹妹借來週轉買美股的錢，以及扣抵幫忙妹妹代繳的卡費。至於施男提告，也將他列為詐騙共犯，陳男強調，他在施男提告後才知道妹妹有收下保時捷休旅車、名牌包、珠寶首飾等，知道妹妹和施男曾到日本遊玩，但不知道2人發生關係。 法官隨後要求陳男當庭交出手機，要勘驗通訊軟體裡的對話內容，似乎讓陳姓兄妹有點措手不及。全案將於8月14日再度開庭審理。 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
